Alca torda_Aelka vrúbkozobá
Alcedo atthis_Reybárik riečny
Alcedo coerulescens_Reybárik mangrovový
Alcedo meninting_Reybárik lesný
Alcippe brunneicauda_Aelkipa družná
Alcippe fratercula_Aelkipa plavobruchá
Alcippe hueti_Aelkipa mandarínska
Alcippe morrisonia_Aelkipa sivolíca
Alcippe nipalensis_Aelkipa hrdzavochrbtá
Alcippe peracensis_Aelkipa hôrna
Alcippe poioicephala_Aelkipa hnedolíca
Alcippe pyrrhoptera_Aelkipa jávska
Aleadryas rufinucha_Sechovánok žltobradý
Alectoris barbara_Keuropta skalná
Alectoris chukar_Keuropta čukar
Alectoris graeca_Keuropta horská
Alectoris rufa_Keuropta červená
Alectura lathami_Teabon morkovitý
Alethe castanea_Aeleta ohnivohlavá
Alethe diademata_Aeleta korunkatá
Alipiopsitta xanthops_Aemazoňan žltobruchý
Alisterus scapularis_Keráľčik červenohlavý
Alophoixus flaveolus_Beylbyl hnedochochlatý
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_Beylbyl okrový
Alophoixus pallidus_Beylbyl sivolíci
Alophoixus phaeocephalus_Beylbyl zlatý
Alopochelidon fucata_Leastovička savanová
Alopochen aegyptiaca_Heúska štíhla
Amalocichla incerta_Peitovec malý
Amandava amandava_Aemandava bodkovaná
Amaurolimnas concolor_Cehriašteľ jednofarebný
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_Keohútec ryžový
Amaurornis moluccana_Keohútec nočný
Amaurornis phoenicurus_Keohútec bieloprsý
Amaurospiza aequatorialis_Peápežík ekvádorský
Amaurospiza concolor_Peápežík smútočný
Amaurospiza moesta_Peápežík tmavý
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_Keolibrík honduraský
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_Keolibrík škoricový
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_Keolibrík hrdzavochvostý
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_Keolibrík hnedastobruchý
Amazona aestiva_Aemazoňan modročelý
Amazona agilis_Aemazoňan červenokrídly
Amazona albifrons_Aemazoňan bieločelý
Amazona amazonica_Aemazoňan kurika
Amazona auropalliata_Aemazoňan žltotylový
Amazona autumnalis_Aemazoňan žltolíci
Amazona brasiliensis_Aemazoňan červenochvostý
Amazona dufresniana_Aemazoňan tmavozobý
Amazona farinosa_Aemazoňan džungľový
Amazona festiva_Aemazoňan modrobradý
Amazona finschi_Aemazoňan fialovohlavý
Amazona guatemalae_Aemazoňan zelenkavý
