Alisterus scapularis_Kongeparakitt
Alophoixus flaveolus_Hvitstrupebylbyl
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_Okerbylbyl
Alophoixus pallidus_Bruntoppbylbyl
Alophoixus phaeocephalus_Gulbukbylbyl
Alopochelidon fucata_Rusthodesvale
Alopochen aegyptiaca_Niland
Amalocichla incerta_Dvergpapuaskvett
Amandava amandava_Tigerastrild
Amaurolimnas concolor_Brunrikse
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_Vinrikse
Amaurornis moluccana_Buskrikse
Amaurornis phoenicurus_Hvitbrystrikse
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_Koboltspurv
Amaurospiza moesta_Blekkspurv
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_Honduraskolibri
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_Kanelkolibri
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_Rusthalekolibri
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_Yucatánkolibri
Amazona aestiva_Blåpanneamazon
Amazona agilis_Dvergamazon
Amazona albifrons_Hvitpanneamazon
Amazona amazonica_Oransjevingeamazon
Amazona auropalliata_Gulnakkeamazon
Amazona autumnalis_Gulkinnamazon
Amazona brasiliensis_Ildhaleamazon
Amazona dufresniana_Blåkinnamazon
Amazona farinosa_Melamazon
Amazona festiva_Rødryggamazon
Amazona finschi_Lillakroneamazon
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_Grimeamazon
Amazona leucocephala_Kubaamazon
Amazona mercenarius_Andesamazon
Amazona ochrocephala_Gulkroneamazon
Amazona oratrix_Gulhodeamazon
Amazona rhodocorytha_Flammemaskeamazon
Amazona tucumana_Oreamazon
Amazona ventralis_Hispaniolaamazon
Amazona vinacea_Vinamazon
Amazona viridigenalis_Grønnkinnamazon
Amazona xantholora_Gultøyleamazon
Amazonetta brasiliensis_Brasiland
Amblycercus holosericeus_Gulnebbkasik
Amblyornis inornata_Brungartner
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Tykknebbvever
Amblyramphus holosericeus_Rødhodetrupial
Ammodramus aurifrons_Gulmaskespurv
Ammodramus humeralis_Camposspurv
Ammodramus savannarum_Gresshoppespurv
Ammomanes cinctura_Mørkhalelerke
Ammomanes deserti_Ørkenlerke
Ammomanes phoenicura_Rusthalelerke
Ammonastes pelzelni_Spraglekinnmaurfugl
Ammoperdix heyi_Beduinhøne
Ammospiza caudacuta_Spisshalespurv
Ammospiza leconteii_Gråørespurv
Ammospiza maritima_Marskspurv
Ammospiza nelsoni_Nålhalespurv
Ampelioides tschudii_Skjellfrukteter
Ampelion rubrocristatus_Rødtoppkotinga
Ampelion rufaxilla_Kragekotinga
Ampelornis griseiceps_Gråhodemaurfugl
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Svartstrupespurv
Amphispiza quinquestriata_Sonoraspurv
Anabacerthia amaurotis_Hvitbrynløvgransker
Anabacerthia lichtensteini_Okerbrystløvgransker
Anabacerthia ruficaudata_Ruststjertløvgransker
Anabacerthia striaticollis_Hvitbrilleløvgransker
Anabacerthia variegaticeps_Okerbrilleløvgransker
Anabathmis newtonii_Saotomesolfugl
Anabathmis reichenbachii_Skjellryggsolfugl
Anabazenops dorsalis_Lysbukløvgransker
Anabazenops fuscus_Hvithalsløvgransker
Anairetes alpinus_Polylepismeisetyrann
Anairetes fernandezianus_Juanfernandezmeisetyrann
Anairetes flavirostris_Gulnebbmeisetyrann
Anairetes nigrocristatus_Mefistomeisetyrann
Anairetes parulus_Guløyemeisetyrann
Anairetes reguloides_Lomameisetyrann
Anas acuta_Stjertand
Anas andium_Andeskrikkand
Anas carolinensis_Amerikakrikkand
Anas castanea_Kastanjeand
Anas crecca_Krikkand
Anas diazi_Mexicoand
Anas flavirostris_Gulnebbkrikkand
Anas fulvigula_Golfand
Anas georgica_Spisshaleand
Anas gracilis_Nomadeand
Anas platyrhynchos_Stokkand
Anas poecilorhyncha_Flekknebband
Anas rubripes_Rødfotand
Anas superciliosa_Stripeand
Anas undulata_Gulnebband
Anas zonorhyncha_Kinaand
Ancistrops strigilatus_Heklenebb
Andigena hypoglauca_Lavendeltukan
Andigena laminirostris_Platenebbtukan
Andigena nigrirostris_Svartnebbtukan
Androdon aequatorialis_Heklenebbkolibri
Andropadus importunus_Krattbylbyl
Anhima cornuta_Horngjeterfugl
Anhinga anhinga_Amerikaslangehals
Anhinga melanogaster_Skjeggslangehals
Anhinga novaehollandiae_Australslangehals
Anisognathus igniventris_Rødbuktanagar
Anisognathus lacrymosus_Tåretanagar
Anisognathus notabilis_Svarthaketanagar
Anisognathus somptuosus_Blåvingetanagar
Anodorhynchus hyacinthinus_Hyasintara
