Alcippe peracensis_Mustajuovatimali
Alcippe poioicephala_Isotiaistimali
Alcippe pyrrhoptera_Jaavantiaistimali
Aleadryas rufinucha_Punaniskaviheltäjä
Alectoris barbara_Kalliopyy
Alectoris chukar_Vuoripyy
Alectoris graeca_Kivikkopyy
Alectoris rufa_Punapyy
Alectura lathami_Kekokana
Alethe castanea_Kekälealetti
Alethe diademata_Ruskoaletti
Alipiopsitta xanthops_Kaunoamatsoni
Alisterus scapularis_Australiankuningaskaija
Alophoixus flaveolus_Sammakkobulbuli
Alophoixus longirostris_Sla Golden-Bulbul
Alophoixus ochraceus_Harmaavatsabulbuli
Alophoixus pallidus_Harmaaposkibulbuli
Alophoixus phaeocephalus_Tuhkapääbulbuli
Alopochelidon fucata_Ruostenaamiopääsky
Alopochen aegyptiaca_Afrikanhanhi
Amalocichla incerta_Papuanrastas
Amandava amandava_Punatiikeripeippo
Amaurolimnas concolor_Pikkumangrovekana
Amaurornis cinerea_Wite-browed Crake
Amaurornis isabellina_Celebesinsuokana
Amaurornis moluccana_Ruosteperähuitti
Amaurornis phoenicurus_Ojasuokana
Amaurospiza aequatorialis_Euadorian Seedeater
Amaurospiza concolor_Sinisirkkunen
Amaurospiza moesta_Tummasinisirkkunen
Amazilia amabilis_Bue-chested Hummingbird
Amazilia amazilia_Aazilia Hummingbird
Amazilia beryllina_Brylline Hummingbird
Amazilia brevirostris_Wite-chested Emerald
Amazilia candida_Wite-bellied Emerald
Amazilia castaneiventris_Cestnut-bellied Hummingbird
Amazilia chionogaster_Wite-bellied Hummingbird
Amazilia cyanifrons_Idigo-capped Hummingbird
Amazilia cyanocephala_Aure-crowned Hummingbird
Amazilia decora_Carming Hummingbird
Amazilia edward_Sowy-bellied Hummingbird
Amazilia fimbriata_Gittering-throated Emerald
Amazilia franciae_Adean Emerald
Amazilia lactea_Spphire-spangled Emerald
Amazilia leucogaster_Pain-bellied Emerald
Amazilia luciae_Hondurasintimanttikolibri
Amazilia rosenbergi_Prple-chested Hummingbird
Amazilia rutila_Kanelitimanttikolibri
Amazilia saucerottei_Seely-vented Hummingbird
Amazilia tobaci_Cpper-rumped Hummingbird
Amazilia tzacatl_Ruostepyrstökolibri
Amazilia versicolor_Vrsicolored Emerald
Amazilia violiceps_Volet-crowned Hummingbird
Amazilia viridicauda_Geen-and-white Hummingbird
Amazilia yucatanensis_Säämiskätimanttikolibri
Amazona aestiva_Siniotsa-amatsoni
Amazona agilis_Mustanokka-amatsoni
Amazona albifrons_Valko-otsa-amatsoni
Amazona amazonica_Kultaposkiamatsoni
Amazona auropalliata_Keltaniska-amatsoni
Amazona autumnalis_Punaotsa-amatsoni
Amazona brasiliensis_Liekkipyrstöamatsoni
Amazona dufresniana_Siniposkiamatsoni
Amazona farinosa_Jauhoamatsoni
Amazona festiva_Jokiamatsoni
Amazona finschi_Lila-amatsoni
Amazona guatemalae_Nrthern Mealy Amazon
Amazona kawalli_Brasilianamatsoni
Amazona leucocephala_Kuubanamatsoni
Amazona mercenarius_Andienamatsoni
Amazona ochrocephala_Amazonianamatsoni
Amazona oratrix_Keltapääamatsoni
Amazona rhodocorytha_Tuliotsa-amatsoni
Amazona tucumana_Rubiiniamatsoni
Amazona ventralis_Hispaniolanamatsoni
Amazona vinacea_Viiniamatsoni
Amazona viridigenalis_Meksikonamatsoni
Amazona xantholora_Jukataninamatsoni
Amazonetta brasiliensis_Brasiliantavi
Amblycercus holosericeus_Bambukasikki
Amblyornis inornata_Majalavastaja
Amblyornis newtoniana_Glden Bowerbird
Amblyospiza albifrons_Kekonokkakutoja
Amblyramphus holosericeus_Punahupputurpiaali
Ammodramus aurifrons_Keltanaamasirkkunen
Ammodramus humeralis_Ruohosirkkunen
Ammodramus savannarum_Heinäsirkkunen
Ammomanes cinctura_Pikkuaavikkokiuru
Ammomanes deserti_Aavikkokiuru
Ammomanes phoenicura_Intianaavikkokiuru
Ammonastes pelzelni_Harmaavatsamuura
Ammoperdix heyi_Aavikkopyy
Ammospiza caudacuta_Suippopyrstösirkkunen
Ammospiza leconteii_Luhtasirkkunen
Ammospiza maritima_Sarasirkkunen
Ammospiza nelsoni_Kosteikkosirkkunen
Ampelioides tschudii_Suomukotinga
Ampelion rubrocristatus_Punatupsukotinga
Ampelion rufaxilla_Rosvokotinga
Ampelornis griseiceps_Harmaapäämuura
Amphilais seebohmi_Gay Emutail
Amphispiza bilineata_Aavikkosirkku
Amphispiza quinquestriata_Kalliosirkkuli
Anabacerthia amaurotis_Valkotäpläorneero
Anabacerthia lichtensteini_Okraorneero
Anabacerthia ruficaudata_Punapyrstöorneero
Anabacerthia striaticollis_Vuoriorneero
Anabacerthia variegaticeps_Suomukurkkuorneero
Anabathmis newtonii_Keltarintamedestäjä
Anabathmis reichenbachii_Keltaperämedestäjä
Anabazenops dorsalis_Paksunokkaorneero
Anabazenops fuscus_Valkokaulusorneero
Anairetes alpinus_Vuoritöyhtönapsija
Anairetes fernandezianus_Juanfernandezinnapsija
Anairetes flavirostris_Kirjotöyhtönapsija
Anairetes nigrocristatus_Pitkätöyhtönapsija
Anairetes parulus_Kiharatöyhtönapsija
Anairetes reguloides_Töyhtönapsija
Anas acuta_Jouhisorsa
Anas andium_Pohjoisandientavi
Anas carolinensis_Amerikantavi
Anas castanea_Australiantavi
Anas crecca_Tavi
Anas diazi_Mxican Duck
Anas flavirostris_Harmaatavi
Anas fulvigula_Suolakkosorsa
Anas georgica_Suippopyrstösorsa
Anas gracilis_Australiansuomutavi
Anas platyrhynchos_Sinisorsa
Anas poecilorhyncha_Täplänokkasorsa
Anas rubripes_Nokisorsa
Anas superciliosa_Juovanaamasorsa
Anas undulata_Keltanokkasorsa
Anas zonorhyncha_Hymysorsa
Ancistrops strigilatus_Hakanokkaorneero
Andigena hypoglauca_Andienvuoritukaani
Andigena laminirostris_Kultakuvetukaani
Andigena nigrirostris_Valkokaulatukaani
Androdon aequatorialis_Hammasnokkakolibri
Andropadus importunus_Pensasbulbuli
Anhima cornuta_Sarviromisko
Anhinga anhinga_Amerikankäärmekaula
Anhinga melanogaster_Käärmekaula
Anhinga novaehollandiae_Australiankäärmekaula
Anisognathus igniventris_Verikorvatangara
Anisognathus lacrymosus_Kyyneltangara
Anisognathus notabilis_Keltahedelmätangara
Anisognathus somptuosus_Viheltäjätangara
Anodorhynchus hyacinthinus_Hyasinttiara
Anodorhynchus leari_Indigoara
Anorrhinus galeritus_Harjasarvinokka
Anorrhinus tickelli_Ruostesarvinokka
Anous minutus_Tummaruskotiira
Anous stolidus_Ruskotiira
Anser albifrons_Tundrahanhi
Anser anser_Merihanhi
Anser brachyrhynchus_Lyhytnokkahanhi
Anser caerulescens_Lumihanhi
Anser canagicus_Beringinhanhi
Anser cygnoides_Joutsenhanhi
Anser erythropus_Kiljuhanhi
Anser fabalis_Metsähanhi
Anser indicus_Tiibetinhanhi
Anser rossii_Eskimohanhi
Anser serrirostris_Tndra Bean-Goose
Anseranas semipalmata_Puuhanhi
Anthipes monileger_Nauhasieppo
Anthipes solitaris_Rusko-ohjassieppo
Anthochaera carunculata_Punahelttamesikko
Anthochaera chrysoptera_Pikkuhelttamesikko
Anthochaera lunulata_Lännenhelttamesikko
Anthochaera paradoxa_Keltahelttamesikko
Anthornis melanura_Makomako
Anthoscopus minutus_Akasiapussitiainen
Anthoscopus musculus_Harmaapussitiainen
Anthracoceros albirostris_Intiansarvinokka
Anthracoceros coronatus_Lippasarvinokka
Anthracoceros malayanus_Mustasarvinokka
Anthracothorax dominicus_Antillienhohtokolibri
Anthracothorax nigricollis_Mustahohtokolibri
Anthracothorax prevostii_Pensashohtokolibri
Anthreptes malacensis_Kookosmedestäjä
Anthreptes orientalis_Violettimedestäjä
Anthreptes simplex_Harmaakurkkumedestäjä
Anthropoides paradiseus_Bue Crane
Anthropoides virgo_Dmoiselle Crane
Anthus antarcticus_Etelägeorgiankirvinen
Anthus berthelotii_Kanariankirvinen
Anthus bogotensis_Andienkirvinen
Anthus brevirostris_Pna Pipit
Anthus campestris_Nummikirvinen
Anthus cervinus_Lapinkirvinen
Anthus chacoensis_Chaconkirvinen
Anthus cinnamomeus_Ruohikkokirvinen
Anthus correndera_Pampakirvinen
Anthus crenatus_Louhikkokirvinen
Anthus furcatus_Kanelikirvinen
Anthus godlewskii_Mongoliankirvinen
Anthus gustavi_Tundrakirvinen
Anthus hellmayri_Arokirvinen
Anthus hodgsoni_Taigakirvinen
Anthus leucophrys_Sänkikirvinen
Anthus lineiventris_Rastaskirvinen
Anthus lutescens_Eteläamerikankirvinen
Anthus nattereri_Okrakirvinen
Anthus novaeseelandiae_Oseaniankirvinen
Anthus peruvianus_Pruvian Pipit
Anthus petrosus_Luotokirvinen
Anthus pratensis_Niittykirvinen
Anthus richardi_Isokirvinen
Anthus roseatus_Himalajankirvinen
Anthus rubescens_Tuhkakirvinen
Anthus rufulus_Riisikirvinen
Anthus similis_Kalliokirvinen
Anthus spinoletta_Vuorikirvinen
Anthus spragueii_Preeriakirvinen
Anthus sylvanus_Ylänkökirvinen
Anthus trivialis_Metsäkirvinen
Antigone antigone_Saruskurki
Antigone canadensis_Hietakurki
Antigone rubicunda_Australiankurki
Antigone vipio_Silmälasikurki
Antilophia bokermanni_Araripentanssija
Antilophia galeata_Kypärätanssija
Antrostomus arizonae_Asteekkikehrääjä
Antrostomus badius_Belizenkehrääjä
Antrostomus carolinensis_Männikkökehrääjä
Antrostomus noctitherus_Puertoriconkehrääjä
Antrostomus ridgwayi_Sirkkakehrääjä
Antrostomus rufus_Punakehrääjä
Antrostomus saturatus_Tummakehrääjä
Antrostomus sericocaudatus_Silkkikehrääjä
Antrostomus vociferus_Amerikankehrääjä
Anumara forbesi_Pikkumustaturpiaali
Anumbius annumbi_Leukalappuorneero
Anurolimnas castaneiceps_Cestnut-headed Crake
Anurolimnas fasciatus_Back-banded Crake
Anurolimnas viridis_Rsset-crowned Crake
Apalis chapini_Tansanianapali
Apalis cinerea_Ruskopääapali
Apalis flavida_Keltarinta-apali
Apalis melanocephala_Mustaselkäapali
Apalis personata_Vuoriapali
Apalis porphyrolaema_Ruskokurkkuapali
Apalis ruddi_Ranta-apali
Apalis rufogularis_Valkopyrstöapali
Apalis sharpii_Guineanapali
Apalis thoracica_Jokiapali
Apaloderma narina_Afrikantrogoni
Apaloderma vittatum_Viirupyrstötrogoni
Aphanotriccus audax_Oliivisieppari
Aphanotriccus capitalis_Ruosterintasieppari
Aphantochroa cirrochloris_Smbre Hummingbird
Aphelocephala leucopsis_Valkonaamamaluri
Aphelocoma californica_Kalifornianpensasnärhi
Aphelocoma coerulescens_Floridanpensasnärhi
Aphelocoma insularis_Isopensasnärhi
Aphelocoma ultramarina_Vuoripensasnärhi
Aphelocoma unicolor_Sinipensasnärhi
Aphelocoma wollweberi_Meksikonpensasnärhi
Aphelocoma woodhouseii_Katajapensasnärhi
Aphrastura spinicauda_Andientulikulma
Aplonis atrifusca_Samoankottarainen
Aplonis cantoroides_Pikikottarainen
