Abeillia abeillei_Zielaczek
Coccothraustes abeillei_Hooded Grosbeak
Coccothraustes coccothraustes_Grubodziób (zwyczajny)
Coccothraustes vespertinus_Evening Grosbeak
Coccycua minuta_Kukawczyk rdzawy
Coccyzus americanus_Kukawik żółtodzioby
Coccyzus erythropthalmus_Kukawik czarnodzioby
Coccyzus euleri_Kukawik białobrzuchy
Coccyzus longirostris_Jaszczurkojad szary
Coccyzus melacoryphus_Kukawik brunatny
Coccyzus merlini_Jaszczurkojad duży
Coccyzus minor_Kukawik namorzynowy
Coccyzus vieilloti_Jaszczurkojad brązowy
Cochlearius cochlearius_Rakojad
Cochoa viridis_Liliogłów zielony
Coeligena coeligena_Elfik brązowy
Coeligena iris_Elfik tęczowy
Coeligena lutetiae_Elfik płowoskrzydły
Coeligena prunellei_Elfik czarny
Coeligena torquata_Elfik wstęgoszyi
Coeligena wilsoni_Elfik szarawy
Coereba flaveola_Cukrzyk bananowy
Colaptes atricollis_Dzięcioł czarnogardły
Colaptes auratus_Dzięcioł różowoszyi
Colaptes auricularis_Dzięcioł czerwonowąsy
Colaptes campestris_Dzięcioł łąkowy
Colaptes chrysoides_Dzięcioł pustynny
Colaptes fernandinae_Dzięcioł krzywodzioby
Colaptes melanochloros_Dzięcioł czarnoczelny
Colaptes pitius_Dzięcioł chilijski
Colaptes punctigula_Dzięcioł czarnoplamy
Colaptes rivolii_Dzięcioł strojny
Colaptes rubiginosus_Dzięcioł oliwkowy
Colaptes rupicola_Dzięcioł andyjski
Colibri coruscans_Uszatek niebieskobrzuchy
Colibri cyanotus_Uszatek szmaragdowy
Colibri delphinae_Uszatek brązowy
Colibri serrirostris_Uszatek zielonobrzuchy
Colibri thalassinus_Uszatek zielony
Colinus cristatus_Przepiór zmienny
Colinus leucopogon_Przepiór plamisty
Colinus nigrogularis_Przepiór białobrewy
Colinus virginianus_Przepiór wirginijski
Colius colius_Czepiga białogrzbieta
Colius striatus_Czepiga rudawa
Collocalia affinis_Salangana białobrzucha
Colluricincla boweri_Fletnik rdzawobrzuchy
Colluricincla harmonica_Fletnik szary
Colluricincla megarhyncha_Fletnik zmienny
Colonia colonus_Białogłowik
Colorhamphus parvirostris_Szarogłowik
Columba arquatrix_Gołąb żółtooki
Columba delegorguei_Gołąb szarogłowy
Columba guinea_Gołąb okularowy
Columba janthina_Gołąb czarny
Columba larvata_Gołąb cynamonowy
Columba livia_Gołąb skalny
Columba oenas_Siniak
Columba palumbus_Grzywacz
Columba vitiensis_Gołąb białogardły
Columbina buckleyi_Gołąbeczek szarawy
Columbina cruziana_Gołąbeczek szarogłowy
Columbina inca_Gołąbeczek aztecki
Columbina minuta_Gołąbeczek karłowaty
Columbina passerina_Gołąbeczek malutki
Columbina picui_Gołąbeczek białoskrzydły
Columbina squammata_Gołąbeczek jarzębaty
Columbina talpacoti_Gołąbeczek cynamonowy
Compsothraupis loricata_Katingowczyk
Conioptilon mcilhennyi_Czarnogłów
Conirostrum albifrons_Prostodziobek białoczelny
Conirostrum bicolor_Prostodziobek dwubarwny
Conirostrum binghami_Prostodziobek wielki
Conirostrum cinereum_Prostodziobek szary
Conirostrum margaritae_Prostodziobek amazoński
Conirostrum rufum_Prostodziobek rdzawy
Conirostrum sitticolor_Prostodziobek czarnogłowy
Conirostrum speciosum_Prostodziobek rdzaworzytny
Conirostrum tamarugense_Prostodziobek rdzawobrewy
Conopias albovittatus_Bentewi koroniasty
Conopias cinchoneti_Bentewi żółtobrewy
Conopias parvus_Bentewi żółtogardły
Conopias trivirgatus_Bentewi oliwkowy
Conopophaga ardesiaca_Mrówkożer śniady
Conopophaga aurita_Mrówkożer białouchy
Conopophaga castaneiceps_Mrówkożer rudoczelny
Conopophaga cearae_Mrówkożer cynamonowy
Conopophaga lineata_Mrówkożer rdzawy
Conopophaga melanogaster_Mrówkożer czarnobrzuchy
Conopophaga melanops_Mrówkożer maskowy
Conopophaga peruviana_Mrówkożer szaroszyi
Conopophila albogularis_Pyłkojad białogardły
Conostoma aemodium_Ogoniatka wielka
Conothraupis speculigera_żałobnik białobrzuchy
Contopus caribaeus_Piwik karaibski
Contopus cinereus_Piwik ubogi
Contopus cooperi_Piwik północny
Contopus fumigatus_Piwik szary
Contopus latirostris_Piwik antylski
Contopus lugubris_Piwik żałobny
Contopus nigrescens_Piwik czarniawy
Contopus pertinax_Piwik ciemny
Contopus punensis_Piwik andyjski
Contopus sordidulus_Piwik brunatny
Contopus virens_Piwik leśny
Copsychus albiventris_Sroczek andamański
Copsychus albospecularis_Sroczek białoskrzydły
Copsychus cebuensis_Sroczek czarny
Copsychus fulicatus_Opocznik
Copsychus luzoniensis_Sroczek białobrewy
Copsychus malabaricus_Sroczek białorzytny
Copsychus mindanensis_Sroczek czarnosterny
Copsychus niger_Sroczek filipiński
Copsychus pyrropygus_Sroczek rdzawosterny
Copsychus saularis_Sroczek zmienny
Copsychus stricklandii_Sroczek białołbisty
Coracias abyssinicus_Kraska abisyńska
Coracias benghalensis_Kraska orientalna
Coracias caudatus_Kraska liliowopierśna
Coracias garrulus_Kraska (zwyczajna)
Coracina bicolor_Kruczyna dwubarwna
Coracina caesia_Gray Cuckooshrike
Coracina longicauda_Kruczyna czarnogłowa
Coracina macei_Kruczyna hinduska
Coracina novaehollandiae_Kruczyna czarnolica
Coracina papuensis_Kruczyna czarnoczelna
Coracina pectoralis_White-breasted Cuckooshrike
Coracina personata_Kruczyna sundajska
Coracina striata_Kruczyna jarzębata
Coracopsis nigra_Papuzica mała
Coracopsis vasa_Papuzica duża
Coragyps atratus_Sępnik czarny
Corapipo altera_Białobrodzik panamski
Corapipo gutturalis_Białobrodzik amazoński
Corcorax melanorhamphos_Skałowron
Cormobates leucophaea_Korołaz białogardły
Cormobates placens_Korołaz papuaski
Corvinella corvina_Dzierzba kreskowana
Corvinella melanoleuca_Magpie Shrike
Corvus albicollis_Kruk wielkodzioby
Corvus albus_Kruk srokaty
Corvus brachyrhynchos_Wrona amerykańska
Corvus capensis_Wrona przylądkowa
Corvus caurinus_Northwestern Crow
Corvus corax_Kruk (zwyczajny)
Corvus cornix_Wrona (zwyczajna)
Corvus corone_Czarnowron
Corvus coronoides_Kruk australijski
Corvus crassirostris_Kruk grubodzioby
Corvus cryptoleucus_Kruk meksykański
Corvus culminatus_Wrona hinduska
Corvus dauuricus_Daurian Jackdaw
Corvus enca_Wrona cienkodzioba
Corvus florensis_Wrona floreska
Corvus frugilegus_Gawron (zwyczajny)
Corvus imparatus_Wrona meksykańska
Corvus jamaicensis_Wrona jamajska
Corvus leucognaphalus_Wrona antylska
Corvus macrorhynchos_Wrona wielkodzioba
Corvus mellori_Kruk mały
Corvus minutus_Wrona palmowa
Corvus monedula_Eurasian Jackdaw
Corvus nasicus_Wrona kubańska
Corvus orru_Wrona papuaska
Corvus ossifragus_Wrona rybożerna
Corvus palmarum_Wrona haitańska
Corvus rhipidurus_Kruk kusy
Corvus ruficollis_Kruk pustynny
Corvus sinaloae_Wrona lśniąca
Corvus splendens_Wrona orientalna
Corvus tasmanicus_Kruk leśny
Corvus tristis_Wrona szara
Corvus typicus_Wrona białoszyja
Corvus unicolor_Wrona jednobarwna
Corvus validus_Wrona długodzioba
Corvus woodfordi_Wrona jasnodzioba
Corydon sumatranus_Szerokodziób różowodzioby
Coryphaspiza melanotis_Chórzyk
Coryphistera alaudina_Rudogonek
Coryphospingus cucullatus_Lanio ognisty
Coryphospingus pileatus_Lanio siwy
Corythaeola cristata_Szyszak
Corythaixoides concolor_Hałaśnik szary
Corythaixoides leucogaster_Hałaśnik białobrzuchy
Corythopis delalandi_Świergoczek południowy
Corythopis torquatus_Świergoczek obrożny
Corythornis cristatus_Zimorodek malachitowy
Coscoroba coscoroba_Koskoroba
Cossypha albicapillus_Złotokos duży
Cossypha anomala_Złotokosik oliwkowy
Cossypha archeri_Złotokosik górski
Cossypha caffra_Złotokosik ogrodowy
Cossypha cyanocampter_Złotokos niebieskoskrzydły
Cossypha dichroa_Złotokos rdzaworzytny
Cossypha heuglini_Złotokos białobrewy
Cossypha humeralis_Złotokosik białogardły
Cossypha natalensis_Złotokos rudogłowy
Cossypha niveicapilla_Złotokos siwogłowy
Cossypha semirufa_Złotokos rdzawobrzuchy
Coturnicops noveboracensis_Derkaczyk płowy
Coturnix coromandelica_Przepiórka indyjska
Coturnix coturnix_Przepiórka (zwyczajna)
Coturnix delegorguei_Przepiórka pstra
Coturnix japonica_Przepiórka japońska
Coturnix pectoralis_Przepiórka rudogardła
Coua caerulea_Kuja błękitna
Coua coquereli_Kuja płowa
Coua cristata_Kuja czubata
Coua cursor_Kuja żółtogardła
Coua gigas_Kuja wielka
Coua reynaudii_Kuja rdzawoczelna
Coua ruficeps_Kuja rudogłowa
Coua serriana_Kuja rdzawopierśna
Cracticus cassicus_Srokacz kapturowy
Cracticus nigrogularis_Srokacz czarnogardły
Cracticus quoyi_Black Butcherbird
Cracticus torquatus_Srokacz szary
Cranioleuca albicapilla_Moczarnik jasnoczuby
Cranioleuca albiceps_Moczarnik jasnogłowy
Cranioleuca antisiensis_Moczarnik andyjski
Cranioleuca curtata_Moczarnik ciemny
Cranioleuca demissa_Moczarnik szarobrzuchy
Cranioleuca erythrops_Moczarnik rdzawolicy
Cranioleuca gutturata_Miękkoster mały
Cranioleuca hellmayri_Moczarnik kolumbijski
Cranioleuca henricae_Moczarnik ochrowy
Cranioleuca marcapatae_Moczarnik inkaski
Cranioleuca obsoleta_Moczarnik oliwkowy
Cranioleuca pallida_Moczarnik blady
Cranioleuca pyrrhophia_Moczarnik białobrewy
Cranioleuca semicinerea_Moczarnik popielaty
Cranioleuca subcristata_Moczarnik czubaty
Cranioleuca vulpecula_Moczarnik lisi
Cranioleuca vulpina_Moczarnik rdzawogrzbiety
Crateroscelis murina_Rusty Mouse-Warbler
Crateroscelis robusta_Mountain Mouse-Warbler
Crax alberti_Czubacz niebieskodzioby
Crax alector_Czubacz kędzierzawy
Crax fasciolata_Czubacz gołolicy
Crax rubra_Czubacz zmienny
Creagrus furcatus_Mewa widłosterna
Creatophora cinerea_Szpak ozdobny
Creurgops verticalis_Beretnik rdzawobrzuchy
Crex crex_Derkacz
Crinifer piscator_Hałaśnik kreskowany
Criniger barbatus_Szczeciobrodacz płowy
Criniger calurus_Szczeciobrodacz rdzawosterny
Criniger chloronotus_Szczeciobrodacz zielony
Crithagra albogularis_Afrokulczyk białogardły
Crithagra flaviventris_Afrokulczyk żółtobrzuchy
Crithagra gularis_Afrokulczyk paskogłowy
Crithagra hyposticta_Afrokulczyk ciemnolicy
Crithagra mozambica_Afrokulczyk mozambijski
Crithagra reichenowi_Afrokulczyk etiopski
Crithagra rufobrunnea_Afrokulczyk zatokowy
Crithagra scotops_Afrokulczyk leśny
Crithagra striolata_Afrokulczyk kreskowany
Crithagra sulphurata_Afrokulczyk siarkowy
Crotophaga ani_Kleszczojad gładkodzioby
Crotophaga major_Kleszczojad wielki
Crotophaga sulcirostris_Kleszczojad bruzdodzioby
Crypsirina temia_Płaskogonka czarna
Cryptillas victorini_Szaroliczka
Cryptoleucopteryx plumbea_Szarostrząb
Cryptospiza reichenovii_Krasnorzytka maskowa
Crypturellus atrocapillus_Kusacz kapturowy
Crypturellus bartletti_Kusacz płowy
Crypturellus boucardi_Kusacz okopcony
Crypturellus cinereus_Kusacz popielaty
Crypturellus cinnamomeus_Kusacz cynamonowy
Crypturellus duidae_Kusacz szaronogi
Crypturellus erythropus_Kusacz czerwononogi
Crypturellus noctivagus_Kusacz żółtonogi
Crypturellus obsoletus_Kusacz kasztanowaty
Crypturellus parvirostris_Kusacz krótkodzioby
Crypturellus soui_Kusacz czarnogłowy
Crypturellus strigulosus_Kusacz rdzawoszyi
Crypturellus tataupa_Kusacz śniady
Crypturellus transfasciatus_Kusacz jasnobrewy
Crypturellus undulatus_Kusacz falisty
Crypturellus variegatus_Kusacz pstry
Cuculus canorus_Kukułka (zwyczajna)
Cuculus clamosus_Kukułka czarna
Cuculus gularis_Kukułka sawannowa
Cuculus lepidus_Kukułka sundajska
Cuculus micropterus_Kukułka krótkoskrzydła
Cuculus optatus_Kukułka syberyjska
Cuculus poliocephalus_Kukułka mała
Cuculus rochii_Kukułka popielata
Cuculus saturatus_Kukułka wschodnia
Cuculus solitarius_Kukułka rdzawopierśna
Culicicapa ceylonensis_Komarówka szarogłowa
Culicicapa helianthea_Komarówka żółtawa
Culicivora caudacuta_Trawniczek
Curaeus curaeus_Starzykowiec południowy
Cutia nipalensis_Zebrobrzuszek himalajski
Cyanerpes caeruleus_Błękitniczek purpurowy
Cyanerpes cyaneus_Błękitniczek czerwononogi
Cyanicterus cyanicterus_Modrotanager
Cyanistes caeruleus_Modraszka (zwyczajna)
Cyanistes cyanus_Sikora lazurowa
Cyanistes teneriffae_Modraszka kanaryjska
Cyanocitta cristata_Modrosójka błękitna
Cyanocitta stelleri_Modrosójka czarnogłowa
Cyanocompsa parellina_Indygówka szafirowa
Cyanocorax affinis_Modrowronka liliowoskrzydła
Cyanocorax beecheii_Modrowronka duża
Cyanocorax caeruleus_Modrowronka lazurowa
Cyanocorax cayanus_Modrowronka białogłowa
Cyanocorax chrysops_Modrowronka pluszogłowa
Cyanocorax cristatellus_Modrowronka czołoczuba
Cyanocorax cyanomelas_Modrowronka purpurowa
Cyanocorax cyanopogon_Modrowronka białokarkowa
Cyanocorax dickeyi_Modrowronka hełmiasta
Cyanocorax heilprini_Modrowronka amazońska
Cyanocorax luxuosus_Modrowronka żółtobrzucha
Cyanocorax melanocyaneus_Modrowronka kędzierzawa
Cyanocorax mystacalis_Modrowronka białosterna
Cyanocorax sanblasianus_Modrowronka stokowa
Cyanocorax violaceus_Modrowronka hiacyntowa
Cyanocorax yncas_Modrowronka zielona
Cyanocorax yucatanicus_Modrowronka jukatańska
Cyanoderma ambiguum_Kolcodziób bengalski
Cyanoderma chrysaeum_Kolcodziób złoty
Cyanoderma erythropterum_Kolcodziób modrooki
Cyanoderma melanothorax_Kolcodziób czarnopręgi
Cyanoderma pyrrhops_Kolcodziób czarnobrody
Cyanoderma ruficeps_Kolcodziób rdzawołbisty
Cyanoderma rufifrons_Kolcodziób rdzawoczelny
Cyanoliseus patagonus_Patagonka
Cyanoloxia brissonii_Indygówka niebieska
Cyanoloxia cyanoides_Indygówka stalowa
Cyanoloxia glaucocaerulea_Indygówka modra
Cyanoloxia rothschildii_Indygówka amazońska
Cyanolyca argentigula_Modrowronka diademowa
Cyanolyca armillata_Modrowronka obrożna
Cyanolyca cucullata_Modrowronka czarnolica
Cyanolyca nanus_Modrowronka mała
Cyanolyca pulchra_Modrowronka wspaniała
Cyanolyca pumilo_Modrowronka czarnogardła
Cyanolyca turcosa_Modrowronka turkusowa
Cyanolyca viridicyanus_Modrowronka maskowa
Cyanomitra olivacea_Nektarnik oliwkowy
Cyanomitra veroxii_Nektarnik szary
Cyanomitra verticalis_Nektarnik zielonogłowy
Cyanopica cooki_Sójka iberyjska
Cyanopica cyanus_Sójka błękitna
Cyanoptila cumatilis_Tajgówka mandżurska
Cyanoptila cyanomelana_Tajgówka
Cyanoramphus novaezelandiae_Modrolotka czerwonoczelna
Cyclarhis gujanensis_Cyklara gujańska
Cyclarhis nigrirostris_Cyklara czarnodzioba
Cygnus atratus_Łabędź czarny
Cygnus buccinator_Łabędź trąbiący
Cygnus columbianus_Łabędź czarnodzioby
Cygnus cygnus_Łabędź krzykliwy
Cygnus melancoryphus_Łabędź czarnoszyi
Cygnus olor_Łabędź niemy
Cymbilaimus lineatus_Zebrzak wielkodzioby
Cymbilaimus sanctaemariae_Zebrzak czubaty
Cymbirhynchus macrorhynchos_Szerokodziób białoskrzydły
Cynanthus latirostris_Złocik północny
Cyornis banyumas_Dżunglówka rdzawogardła
Cyornis caerulatus_Dżunglówka wielkodzioba
Cyornis concretus_Dżunglówka białosterna
Cyornis glaucicomans_Dżunglówka chińska
Cyornis hainanus_Dżunglówka indochińska
Cyornis hoevelli_Dżunglówka modrobrewa
Cyornis olivaceus_Dżunglówka płowopierśna
Cyornis omissus_Dżunglówka rdzawopierśna
Cyornis pallidipes_Dżunglówka turkusowa
Cyornis poliogenys_Dżunglówka blada
Cyornis rubeculoides_Dżunglówka modrogłowa
Cyornis rufigastra_Dżunglówka ognistobrzucha
Cyornis sanfordi_Dżunglówka szarawa
Cyornis superbus_Dżunglówka wspaniała
Cyornis tickelliae_Dżunglówka trójbarwna
Cyornis turcosus_Dżunglówka mała
Cyornis umbratilis_Dżunglówka szaropierśna
Cyornis unicolor_Dżunglówka lazurowa
Cyphorhinus arada_Strzyżoń melodyjny
Cyphorhinus phaeocephalus_Strzyżoń śpiewny
Cyphorhinus thoracicus_Strzyżoń andyjski
Cypsiurus balasiensis_Jerzyk jaskółczy
Cypsiurus parvus_Jerzyk palmowy
Cypsnagra hirundinacea_Tanagrówka
Cyrtonyx montezumae_Przepiór perlisty
Cyrtonyx ocellatus_Przepiór maskowy
Dacelo gaudichaud_Kukabura rdzawobrzucha
Dacelo leachii_Kukabura modroskrzydła
Dacelo novaeguineae_Kukabura chichotliwa
Dacnis cayana_Cukrownik niebieski
Dacnis flaviventer_Cukrownik żółtobrzuchy
Dacnis hartlaubi_Cukrownik turkusowy
Dacnis lineata_Cukrownik modrołbisty
Dacnis venusta_Cukrownik modrolicy
Dactylortyx thoracicus_Przepiór kreskowany
Daphoenositta chrysoptera_Kowaliczek zmienny
Daptrius ater_Karakara czarna
Dasylophus cumingi_Kukuła białolica
Dasyornis brachypterus_Kolcopiórek brązowy
Dasyornis broadbenti_Kolcopiórek rudy
Dasyornis longirostris_Kolcopiórek mały
Deconychura longicauda_Tęgosterzyk większy
Delichon dasypus_Oknówka wschodnia
Delichon urbicum_Oknówka (zwyczajna)
Deltarhynchus flammulatus_Mimozowiec
Dendragapus fuliginosus_Borowiak żółtogardły
Dendragapus obscurus_Borowiak złotobrewy
Dendrexetastes rufigula_Rogodziób
Dendrocincla anabatina_Łaźczyk śniady
Dendrocincla fuliginosa_Łaźczyk brązowy
Dendrocincla homochroa_Łaźczyk rdzawy
Dendrocincla merula_Łaźczyk białogardły
Dendrocincla turdina_Łaźczyk drozdowaty
Dendrocincla tyrannina_Łaźczyk duży
Dendrocitta cinerascens_Srokówka szara
Dendrocitta formosae_Srokówka maskowa
Dendrocitta leucogastra_Srokówka białobrzucha
Dendrocitta vagabunda_Srokówka jasnoskrzydła
Dendrocolaptes certhia_Tęgoster prążkowany
Dendrocolaptes picumnus_Tęgoster zebrowany
Dendrocolaptes platyrostris_Tęgoster płaskodzioby
Dendrocolaptes sanctithomae_Tęgoster północny
Dendrocopos analis_Dzięcioł pręgosterny
Dendrocopos darjellensis_Dzięcioł żółtouchy
Dendrocopos himalayensis_Dzięcioł himalajski
Dendrocopos hyperythrus_Dzięcioł rdzawobrzuchy
Dendrocopos leucopterus_Dzięcioł białoskrzydły
Dendrocopos leucotos_Dzięcioł białogrzbiety
Dendrocopos macei_Dzięcioł płowy
Dendrocopos major_Dzięcioł duży
Dendrocopos noguchii_Okinawiak
Dendrocopos syriacus_Dzięcioł białoszyi
Dendrocoptes auriceps_Dzięcioł nepalski
Dendrocoptes medius_Dzięcioł średni
Dendrocygna arcuata_Drzewica wędrowna
Dendrocygna autumnalis_Drzewica czarnobrzucha
Dendrocygna bicolor_Drzewica dwubarwna
Dendrocygna eytoni_Drzewica australijska
Dendrocygna javanica_Drzewica indyjska
Dendrocygna viduata_Drzewica białolica
Dendronanthus indicus_Pliszka leśna
Dendroperdix sephaena_Frankolin czubaty
Dendroplex picus_Mieczonos jasnodzioby
Dendrortyx barbatus_Przepiór śniadoszyi
Dendrortyx leucophrys_Przepiór białoczelny
Dendrortyx macroura_Przepiór czarnogardły
Deroptyus accipitrinus_Kapturnica
Dicaeum aeneum_Kwiatówka drobna
Dicaeum agile_Kwiatówka grubodzioba
Dicaeum australe_Kwiatówka zbroczona
Dicaeum chrysorrheum_Kwiatówka zielonogrzbieta
Dicaeum concolor_Kwiatówka uboga
Dicaeum cruentatum_Kwiatówka pąsowa
Dicaeum erythrorhynchos_Kwiatówka jasnodzioba
Dicaeum hirundinaceum_Kwiatówka różowa
Dicaeum ignipectus_Kwiatówka ognista
Dicaeum maugei_Kwiatówka czarnogrzbieta
Dicaeum minullum_Kwiatówka oliwkowa
Dicaeum pygmaeum_Kwiatówka malutka
Dicaeum sanguinolentum_Kwiatówka krasna
Dicaeum trigonostigma_Kwiatówka trójbarwna
Dicaeum tristrami_Kwiatówka nakrapiana
Dicaeum trochileum_Kwiatówka szkarłatna
Dichrozona cincta_Szperaczek
Dicrurus adsimilis_Dziwogon żałobny
Dicrurus aeneus_Dziwogon spiżowy
Dicrurus andamanensis_Dziwogon szerokosterny
Dicrurus atripennis_Dziwogon lśniący
Dicrurus balicassius_Dziwogon pluszogłowy
Dicrurus bracteatus_Dziwogon włochaty
Dicrurus caerulescens_Dziwogon białobrzuchy
Dicrurus divaricatus_Dziwogon sahelski
Dicrurus forficatus_Dziwogon czubaty
Dicrurus hottentottus_Dziwogon lirosterny
Dicrurus leucophaeus_Dziwogon popielaty
Dicrurus ludwigii_Dziwogon prostosterny
Dicrurus macrocercus_Dziwogon czarny
Dicrurus montanus_Dziwogon górski
Dicrurus paradiseus_Dziwogon rajski
Dicrurus remifer_Dziwogon flagosterny
Diglossa albilatera_Haczykodziobek białoboczny
Diglossa baritula_Haczykodziobek cynamonowy
Diglossa brunneiventris_Haczykodziobek czarnogardły
Diglossa caerulescens_Haczykodziobek modry
Diglossa cyanea_Haczykodziobek maskowy
Diglossa glauca_Haczykodziobek jednobarwny
Diglossa gloriosissima_Haczykodziobek epoletowy
Diglossa humeralis_Haczykodziobek czarniawy
Diglossa indigotica_Haczykodziobek indygowy
Diglossa lafresnayii_Haczykodziobek lśniący
Diglossa mystacalis_Haczykodziobek rudowąsy
Diglossa plumbea_Haczykodziobek śniady
Diglossa sittoides_Haczykodziobek rdzawobrzuchy
Dinemellia dinemelli_Bawolik białogłowy
Dinopium benghalense_Sułtanik żółtogrzbiety
Dinopium javanense_Sułtanik czerwonorzytny
Dinopium rafflesii_Olive-backed Woodpecker
Diopsittaca nobilis_Epoletówka
Diuca diuca_Diuka
Dives dives_Czarnobłysk krzykliwy
Dives warczewiczi_Czarnobłysk peruwiański
Dixiphia pipra_White-crowned Manakin
Dolichonyx oryzivorus_Ryżojad
Donacobius atricapilla_Mimik
Donacospiza albifrons_Trzcinowiec
Doryfera johannae_Włócznik modroczelny
Drepanis coccinea_Hawajka cynobrowa
Drepanornis bruijnii_Pyszałek jasnodzioby
Dreptes thomensis_Nektarnik posępny
Dromas ardeola_Krabożer
Dromococcyx pavoninus_Klinochwostka pawia
Dromococcyx phasianellus_Klinochwostka bażancia
Drymodes beccarii_Krzakor brązowogrzbiety
Drymodes brunneopygia_Krzakor ciemnolicy
Drymophila devillei_Leśnica kreskowana
Drymophila ferruginea_Leśnica rdzawa
Drymophila genei_Leśnica rudosterna
Drymophila hellmayri_Leśnica stokowa
Drymophila klagesi_Leśnica wenezuelska
Drymophila malura_Leśnica uboga
Drymophila ochropyga_Leśnica szarawa
Drymophila rubricollis_Leśnica bambusowa
Drymophila squamata_Leśnica łuskowana
Drymophila striaticeps_Leśnica andyjska
Drymornis bridgesii_Drzewiarz wąsaty
Dryobates affinis_Red-stained Woodpecker
Dryobates albolarvatus_White-headed Woodpecker
Dryobates arizonae_Arizona Woodpecker
Dryobates borealis_Red-cockaded Woodpecker
Dryobates callonotus_Scarlet-backed Woodpecker
Dryobates cassini_Golden-collared Woodpecker
Dryobates cathpharius_Dzięcioł czerwonopierśny
Dryobates dignus_Yellow-vented Woodpecker
Dryobates frontalis_Dot-fronted Woodpecker
Dryobates fumigatus_Smoky-brown Woodpecker
Dryobates kirkii_Red-rumped Woodpecker
Dryobates lignarius_Striped Woodpecker
Dryobates minor_Dzięciołek
Dryobates mixtus_Checkered Woodpecker
Dryobates nigriceps_Bar-bellied Woodpecker
Dryobates nuttallii_Dzięcioł kalifornijski
Dryobates passerinus_Little Woodpecker
Dryobates pubescens_Dzięcioł kosmaty
Dryobates scalaris_Dzięcioł pasiasty
Dryobates spilogaster_White-spotted Woodpecker
Dryobates villosus_Hairy Woodpecker
Dryocopus hodgei_Dzięcioł andamański
Dryocopus javensis_Dzięcioł białobrzuchy
Dryocopus lineatus_Dzięcioł czerwonoczuby
Dryocopus martius_Dzięcioł czarny
Dryocopus pileatus_Dzięcioł smugoszyi
Dryolimnas cuvieri_Chruścielowiec białogardły
Dryoscopus cubla_Turniurzyk srokaty
Dryoscopus gambensis_Turniurzyk sawannowy
Dubusia castaneoventris_Andomodraszek rdzawobrzuchy
Dubusia taeniata_Andomodraszek sędziwy
Ducula aenea_Muszkatela miedziana
Ducula badia_Muszkatela kasztanowata
Ducula basilica_Muszkatela cynamonowa
Ducula concinna_Muszkatela złotooka
Ducula lacernulata_Muszkatela ciemnogrzbieta
Ducula latrans_Muszkatela płowa
Ducula pacifica_Muszkatela brodawkowata
Ducula perspicillata_Muszkatela białooka
Ducula pickeringii_Muszkatela popielata
Ducula pinon_Muszkatela czerwonooka
Ducula pistrinaria_Muszkatela blada
Ducula rubricera_Muszkatela krasnonosa
Ducula zoeae_Muszkatela różowoszyja
Dulus dominicus_Palmowiec
Dumetella carolinensis_Przedrzeźniacz ciemny
Dumetia hyperythra_Kurtnik rdzawy
Dysithamnus leucostictus_Krępomrowiec ponury
Dysithamnus mentalis_Krępomrowiec czarnolicy
Dysithamnus occidentalis_Krępomrowiec stokowy
Dysithamnus plumbeus_Krępomrowiec ołowiowy
Dysithamnus puncticeps_Krępomrowiec perlisty
Dysithamnus stictothorax_Krępomrowiec piegowaty
Dysithamnus striaticeps_Krępomrowiec smugogłowy
Dysithamnus xanthopterus_Krępomrowiec rdzawogrzbiety
Eclectus roratus_Barwnica (zwyczajna)
Edolisoma montanum_Gąsienicojad czarnobrzuchy
Edolisoma salomonis_Gąsienicojad okopcony
Edolisoma tenuirostre_Gąsienicojad cienkodzioby
Egretta caerulea_Czapla śniada
Egretta garzetta_Czapla nadobna
Egretta gularis_Czapla rafowa
Egretta novaehollandiae_Czapla białolica
Egretta rufescens_Czapla rdzawoszyja
Egretta thula_Czapla śnieżna
Egretta tricolor_Czapla trójbarwna
Elachura formosa_Perłopiórka
Elaenia albiceps_Elenia białoczuba
Elaenia brachyptera_Elenia mała
Elaenia chilensis_Elenia chilijska
Elaenia chiriquensis_Elenia cienkodzioba
Elaenia cristata_Elenia płowa
Elaenia flavogaster_Elenia żółtobrzucha
Elaenia frantzii_Elenia górska
Elaenia gigas_Elenia czubata
Elaenia martinica_Elenia karaibska
Elaenia mesoleuca_Elenia oliwkowa
Elaenia obscura_Elenia wyżynna
Elaenia pallatangae_Elenia andyjska
Elaenia parvirostris_Elenia krótkodzioba
Elaenia ridleyana_Elenia szarogardła
Elaenia ruficeps_Elenia rudogłowa
Elaenia sordida_Elenia wielka
Elaenia spectabilis_Elenia skromna
Elaenia strepera_Elenia szara
Elanoides forficatus_Jaskólak
Elanus axillaris_Kaniuk australijski
Elanus caeruleus_Kaniuk (zwyczajny)
Elanus leucurus_Kaniuk amerykański
Electron carinatum_Piłodziób ostrodzioby
Electron platyrhynchum_Piłodziób szerokodzioby
Eleoscytalopus indigoticus_Krytonosek białogardły
Eleothreptus anomalus_Lelkowiec sierposkrzydły
Elminia albiventris_Muchodławik białobrzuchy
Elminia albonotata_Muchodławik białosterny
Elminia longicauda_Muchodławik błękitny
Elseyornis melanops_Sieweczka czarnoczelna
Emberiza aureola_Trznadel złotawy
Emberiza bruniceps_Trznadel rudogłowy
Emberiza buchanani_Trznadel skalny
