Abeillia abeillei_Zielaczek
Alcedo meninting_Zimorodek granatowy
Alcippe brunneicauda_Sikornik szaroboczny
Alcippe fratercula_Sikornik płowy
Alcippe hueti_Sikornik szarogardły
Alcippe morrisonia_Sikornik szarolicy
Alcippe nipalensis_Sikornik nepalski
Alcippe peracensis_Sikornik czarnobrewy
Alcippe poioicephala_Sikornik duży
Alcippe pyrrhoptera_Sikornik rdzaworzytny
Aleadryas rufinucha_Krasnogłowik
Alectoris barbara_Góropatwa berberyjska
Alectoris chukar_Góropatwa azjatycka
Alectoris graeca_Góropatwa skalna
Alectoris rufa_Góropatwa czerwona
Alectura lathami_Nogal brunatny
Alethe castanea_Szydlak rdzawołbisty
Alethe diademata_Szydlak białosterny
Alipiopsitta xanthops_żółtogłówka
Alisterus scapularis_Szkarłatka królewska
Alophoixus flaveolus_Szczeciak białogardły
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_Szczeciak czubaty
Alophoixus pallidus_Szczeciak płowy
Alophoixus phaeocephalus_Szczeciak żółtobrzuchy
Alopochelidon fucata_Jaskółeczka rudogłowa
Alopochen aegyptiaca_Kazarka egipska
Amalocichla incerta_Piechotek mały
Amandava amandava_Bengalik czerwony
Amaurolimnas concolor_Chruścielak jednobarwny
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_Bagiewnik rdzawobrzuchy
Amaurornis moluccana_Bagiewnik szaropierśny
Amaurornis phoenicurus_Bagiewnik białopierśny
Amaurospiza aequatorialis_Indygówka ekwadorska
Amaurospiza concolor_Indygówka jasna
Amaurospiza moesta_Indygówka ciemna
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_Szmaragdzik honduraski
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_Szmaragdzik cynamonowy
Amazilia saucerottei_Steely-vented Hummingbird
