Alcippe morrisonia_メジロチメドリ
Alcippe nipalensis_ネパールメジロチメドリ
Alcippe peracensis_マユグロチメドリ
Alcippe poioicephala_ハイガシラチメドリ
Alcippe pyrrhoptera_ジャワチメドリ
Aleadryas rufinucha_アカエリモズヒタキ
Alectoris barbara_チャエリイワシャコ
Alectoris chukar_イワシャコ
Alectoris graeca_ハイイロイワシャコ
Alectoris rufa_アカアシイワシャコ
Alectura lathami_ヤブツカツクリ
Alethe castanea_ズアカムジヒタキ
Alethe diademata_アカズキンムジヒタキ
Alipiopsitta xanthops_ワキアカボウシインコ
Alisterus scapularis_キンショウジョウインコ
Alophoixus flaveolus_キバラカンムリヒヨドリ
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_シロハラカンムリヒヨドリ
Alophoixus pallidus_ノドジロカンムリヒヨドリ
Alophoixus phaeocephalus_ハイガシラアゴカンムリヒヨドリ
Alopochelidon fucata_キツネツバメ
Alopochen aegyptiaca_エジプトガン
Amalocichla incerta_ヒメパプアヤマツグミ
Amandava amandava_ベニスズメ
Amaurolimnas concolor_チャバラクイナ
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_チャバラバンクイナ
Amaurornis moluccana_アカオクイナ
Amaurornis phoenicurus_シロハラクイナ
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_シコンコメワリ
Amaurospiza moesta_ノドグロシコンコメワリ
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_ホンジュラスエメラルドハチドリ
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_ニッケイハチドリ
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_ハイバラエメラルドハチドリ
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_アカハシエメラルドハチドリ
Amazona aestiva_アオボウシインコ
Amazona agilis_ハシグロボウシインコ
Amazona albifrons_コボウシインコ
Amazona amazonica_キソデボウシインコ
Amazona auropalliata_キエリボウシインコ
Amazona autumnalis_キホオボウシインコ
Amazona brasiliensis_アカオボウシインコ
Amazona dufresniana_キガオボウシインコ
Amazona farinosa_ムジボウシインコ
Amazona festiva_ムラサキボウシインコ
Amazona finschi_フジイロボウシインコ
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_カワルボウシインコ
Amazona leucocephala_サクラボウシインコ
Amazona mercenarius_ネズミエリボウシインコ
Amazona ochrocephala_キビタイボウシインコ
Amazona oratrix_キガシラボウシインコ
Amazona rhodocorytha_アカマユボウシインコ
Amazona tucumana_カラカネボウシインコ
Amazona ventralis_ミミグロボウシインコ
Amazona vinacea_ブドウイロボウシインコ
Amazona viridigenalis_メキシコアカボウシインコ
Amazona xantholora_キバナボウシインコ
Amazonetta brasiliensis_アカアシコガモ
Amblycercus holosericeus_クロツリスドリ
Amblyornis inornata_チャイロニワシドリ
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_ハシブトハタオリ
Amblyramphus holosericeus_ヒズキンムクドリモドキ
Ammodramus aurifrons_キマユヒメドリ
Ammodramus humeralis_キガタヒメドリ
Ammodramus savannarum_イナゴヒメドリ
Ammomanes cinctura_クロオビスナヒバリ
Ammomanes deserti_スナヒバリ
Ammomanes phoenicura_インドスナヒバリ
Ammonastes pelzelni_ハイバラアリドリ
Ammoperdix heyi_スナシャコ
Ammospiza caudacuta_トゲオヒメドリ
Ammospiza leconteii_シロスジヒメドリ
Ammospiza maritima_ハマヒメドリ
Ammospiza nelsoni_ネルソントゲオヒメドリ
Ampelioides tschudii_ウロコカザリドリ
Ampelion rubrocristatus_アカカンムリカザリドリ
Ampelion rufaxilla_カンムリカザリドリ
Ampelornis griseiceps_ハイガシラアリドリ
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_ノドグロヒメドリ
Amphispiza quinquestriata_ムナフスズメモドキ
Anabacerthia amaurotis_マユブトカマドドリ
Anabacerthia lichtensteini_スナイロマユカマドドリ
Anabacerthia ruficaudata_アカオマユカマドドリ
Anabacerthia striaticollis_ミヤママユカマドドリ
Anabacerthia variegaticeps_ウロコノドカマドドリ
Anabathmis newtonii_サントメタイヨウチョウ
Anabathmis reichenbachii_ルリムネタイヨウチョウ
Anabazenops dorsalis_セアカハシブトカマドドリ
Anabazenops fuscus_シロエリマユカマドドリ
Anairetes alpinus_タカネカラタイランチョウ
Anairetes fernandezianus_フェルナンデスカラタイランチョウ
Anairetes flavirostris_キバシカラタイランチョウ
Anairetes nigrocristatus_クロカンムリカラタイランチョウ
Anairetes parulus_エボシカラタイランチョウ
Anairetes reguloides_カンムリカラタイランチョウ
Anas acuta_オナガガモ
Anas andium_Andean Teal
Anas carolinensis_アメリカコガモ
Anas castanea_アオクビコガモ
Anas crecca_コガモ
Anas diazi_Mexican Duck
Anas flavirostris_キバシコガモ
Anas fulvigula_マダラガモ
Anas georgica_キバシオナガガモ
Anas gracilis_ハイイロコガモ
Anas platyrhynchos_マガモ
Anas poecilorhyncha_アカボシカルガモ
Anas rubripes_アメリカガモ
Anas superciliosa_マミジロカルガモ
Anas undulata_キバシガモ
Anas zonorhyncha_カルガモ
Ancistrops strigilatus_カギハシカマドドリ
Andigena hypoglauca_サンショクヤマオオハシ
Andigena laminirostris_イタハシヤマオオハシ
Andigena nigrirostris_ハシグロヤマオオハシ
Androdon aequatorialis_ハバシハチドリ
Andropadus importunus_ウスグロアオヒヨ
Anhima cornuta_ツノサケビドリ
Anhinga anhinga_アメリカヘビウ
Anhinga melanogaster_アジアヘビウ
Anhinga novaehollandiae_オーストラリアヘビウ
Anisognathus igniventris_アカハラヤマフウキンチョウ
Anisognathus lacrymosus_キボシヤマフウキンチョウ
Anisognathus notabilis_クロアゴヤマフウキンチョウ
Anisognathus somptuosus_アオバネヤマフウキンチョウ
Anodorhynchus hyacinthinus_スミレコンゴウインコ
Anodorhynchus leari_コスミレコンゴウインコ
Anorrhinus galeritus_ムジサイチョウ
Anorrhinus tickelli_ビルマサイチョウ
Anous minutus_ヒメクロアジサシ
Anous stolidus_クロアジサシ
Anser albifrons_マガン
Anser anser_ハイイロガン
Anser brachyrhynchus_コザクラバシガン
Anser caerulescens_ハクガン
Anser canagicus_ミカドガン
Anser cygnoides_サカツラガン
Anser erythropus_カリガネ
Anser fabalis_ニシヒシクイ
Anser indicus_インドガン
