Alcippe brunneicauda_Teimálie šedobřichá
Alcippe fratercula_Yunnan Fulvetta
Alcippe hueti_Huet's Fulvetta
Alcippe morrisonia_Teimálie yunanská
Alcippe nipalensis_Teimálie vysokohorská
Alcippe peracensis_Teimálie malajská
Alcippe poioicephala_Teimálie šedotemenná
Alcippe pyrrhoptera_Teimálie hnědočervená
Aleadryas rufinucha_Peištec rezavošíjný
Alectoris barbara_Oerebice berberská
Alectoris chukar_Oerebice čukar
Alectoris graeca_Oerebice horská
Alectoris rufa_Oerebice rudá
Alectura lathami_Teabon lesní
Alethe castanea_Derozdík hnědavý
Alethe diademata_Derozdík ohnivotemenný
Alipiopsitta xanthops_Aemazoňan žlutobřichý
Alisterus scapularis_Peapoušek královský
Alophoixus flaveolus_Beulbulec bělohrdlý
Alophoixus longirostris_Sula Golden-Bulbul
Alophoixus ochraceus_Beulbulec okrový
Alophoixus pallidus_Beulbulec jihoasijský
Alophoixus phaeocephalus_Beulbulec šedočapkový
Alopochelidon fucata_Velaštovka rezavohlavá
Alopochen aegyptiaca_Heusice nilská
Amalocichla incerta_Leejsčík menší
Amandava amandava_Teygříček tečkovaný
Amaurolimnas concolor_Cehřástal stejnobarvý
Amaurornis cinerea_White-browed Crake
Amaurornis isabellina_Cehřástal celebeský
Amaurornis moluccana_Cehřástal molucký
Amaurornis phoenicurus_Cehřástal běloprsý
Amaurospiza aequatorialis_Ecuadorian Seedeater
Amaurospiza concolor_Leouskač modrý
Amaurospiza moesta_Leouskač černomodrý
Amazilia amabilis_Blue-chested Hummingbird
Amazilia amazilia_Amazilia Hummingbird
Amazilia beryllina_Berylline Hummingbird
Amazilia brevirostris_White-chested Emerald
Amazilia candida_White-bellied Emerald
Amazilia castaneiventris_Chestnut-bellied Hummingbird
Amazilia chionogaster_White-bellied Hummingbird
Amazilia cyanifrons_Indigo-capped Hummingbird
Amazilia cyanocephala_Azure-crowned Hummingbird
Amazilia decora_Charming Hummingbird
Amazilia edward_Snowy-bellied Hummingbird
Amazilia fimbriata_Glittering-throated Emerald
Amazilia franciae_Andean Emerald
Amazilia lactea_Sapphire-spangled Emerald
Amazilia leucogaster_Plain-bellied Emerald
Amazilia luciae_Keolibřík honduraský
Amazilia rosenbergi_Purple-chested Hummingbird
Amazilia rutila_Keolibřík ryšavý
Amazilia saucerottei_Steely-vented Hummingbird
Amazilia tobaci_Copper-rumped Hummingbird
Amazilia tzacatl_Keolibřík rezavoocasý
Amazilia versicolor_Versicolored Emerald
Amazilia violiceps_Violet-crowned Hummingbird
Amazilia viridicauda_Green-and-white Hummingbird
Amazilia yucatanensis_Keolibřík yukatanský
Amazona aestiva_Aemazoňan modročelý
Amazona agilis_Aemazoňan černozobý
Amazona albifrons_Aemazoňan běločelý
Amazona amazonica_Aemazoňan oranžovokřídlý
Amazona auropalliata_Yellow-naped Parrot
Amazona autumnalis_Aemazoňan rudočelý
Amazona brasiliensis_Aemazoňan rudoocasý
Amazona dufresniana_Aemazoňan modrolící
Amazona farinosa_Aemazoňan pomoučený
Amazona festiva_Aemazoňan modrobradý
Amazona finschi_Aemazoňan fialovotemenný
Amazona guatemalae_Northern Mealy Amazon
Amazona kawalli_Aemazoňan Kawalův
Amazona leucocephala_Aemazoňan kubánský
Amazona mercenarius_Aemazoňan vojenský
Amazona ochrocephala_Aemazoňan žlutohlavý
Amazona oratrix_Aemazoňan velký
Amazona rhodocorytha_Aemazoňan rudooký
Amazona tucumana_Aemazoňan tukumanský
Amazona ventralis_Aemazoňan haitský
Amazona vinacea_Aemazoňan fialovoprsý
Amazona viridigenalis_Aemazoňan zelenolící
Amazona xantholora_Aemazoňan černouchý
Amazonetta brasiliensis_Keachnička amazonská
Amblycercus holosericeus_Terupiál žlutozobý
Amblyornis inornata_Leemčík prostý
Amblyornis newtoniana_Golden Bowerbird
Amblyospiza albifrons_Peřádelník dlasčí
Amblyramphus holosericeus_Velhovec červenohlavý
Ammodramus aurifrons_Setrnadec zlatobrvý
Ammodramus humeralis_Setrnadec savanový
Ammodramus savannarum_Setrnadec pustinný
Ammomanes cinctura_Sekřivan pruhoocasý
Ammomanes deserti_Sekřivan pouštní
Ammomanes phoenicura_Sekřivan rehkovitý
Ammonastes pelzelni_Meravenčík plavoskvrnný
Ammoperdix heyi_Keoroptev arabská
Ammospiza caudacuta_Setrnadec ostrochvostý
Ammospiza leconteii_Setrnadec Le Conteův
Ammospiza maritima_Setrnadec pobřežní
Ammospiza nelsoni_Setrnadec Nelsonův
Ampelioides tschudii_Keotinga šupinkatá
Ampelion rubrocristatus_Keotinga červenochocholkatá
Ampelion rufaxilla_Keotinga rezavochocholatá
Ampelornis griseiceps_Meravenčík šedohlavý
Amphilais seebohmi_Gray Emutail
Amphispiza bilineata_Setrnádka černohrdlá
